Authors,CitationCount,DOI,Field,Journal/Venue,Keywords,Language,SemanticScholar URL,Title,Year,primary_category,row_id,What_was_found,What_was_studied,Why_it_matters_for_policy
Ram A. Cnaan; M. S. Moodithaya; Femida Handy,70,10.1017/s0047279411000377,Social exclusion; Inclusion (education); Developed country; Economics; Poverty; Financial instrument; Financial inclusion; Rural people; Bank account; Development economics; Economic growth,Journal of Social Policy,,en,https://www.cambridge.org/core/journals/journal-of-social-policy/article/financial-inclusion-lessons-from-rural-south-india/94791E116FC077ECCB14E2EFC4AD5CA5,Financial Inclusion: Lessons from Rural South India,2011,Chronic poverty; Income poverty; Intersectional poverty; Rural poverty,4358,"Although many rural people in South India are financially included, the concept of financial inclusion is more complex than usually portrayed. Our findings show that social and personal deprivation contributes to financial exclusion and should be viewed as key barriers to financial inclusion.","Financial inclusion/exclusion in rural South India from 2018 to 2020, using data from four sites where banks claimed that financial inclusion is complete.","To address financial exclusion, policy makers must prioritize a multi-layered approach to financial inclusion that accounts for social and personal factors, in addition to access to banking services. This requires scaling up support for microfinance programs and expanding the range of modern financial instruments available to rural households."
Татьяна Михайловна Малева; Елена Михайловна Авраамова,3,10.17323/727-0634-2017-15-4-559-572,Public economics; Welfare; Social exclusion; Business; Government; Poverty; Social change; Social protection; Unit (housing); Social Welfare,The Journal of Social Policy Studies,,ru,https://cyberleninka.ru/article/n/alternativy-razvitiya-sotsialnoy-zaschity-naseleniya,Альтернативы развития социальной защиты населения,2017,Employment; Housing insecurity,4359,"The study reveals that structural dysfunctions in social protection result in many poor people not receiving assistance, leading to ineffective social protection. Additionally, the research suggests that a needs-based approach and expanding the number of providers can improve the efficiency of social protection systems.","The research examines the systemic dysfunctions in social protection in Russia, particularly during economic recession, and identifies alternatives for social protection development focusing on the household as the primary accounting unit, needs-based approach, and expanding the number of providers. The study covers a specific time period (2017) and uses empirical data to support its findings.","To address growing poverty and ineffective social protection, policymakers should prioritize reforming social protection systems to focus on the household as the primary accounting unit, adopt a needs-based approach, and expand the number of providers. This can help improve the efficiency of social protection systems and ensure that all poor people receive assistance."
Birgit Pfau-Effinger,438,10.1017/s0047279404008232,Positive economics; Cultural diversity; Welfare state; Economics; Context (language use); Comparative perspective; Economic system,Journal of Social Policy,,en,https://www.socium.uni-bremen.de/uploads/Veranstaltungen/JourFixe/120125_Pfau-Effinger.pdf,Culture and Welfare State Policies: Reflections on a Complex Interrelation,2004,Social protection,4360,"The study found that cultural differences play a crucial role in shaping welfare state policies, particularly in the areas of family benefits and active labor market programs.","This article reviews comparative welfare state analyses, focusing on how cultural differences contribute to the explanation of cross-national differences in welfare state policies.",Policy makers should prioritize cultural factors when designing social protection policies to ensure effective program implementation and scale-up.
Слободенюк Екатерина Дмитриевна,3,10.17323/727-0634-2017-15-2-183-200,Applied economics; Economics; Poverty; Social policy; Social security; Unemployment; Minimum wage; Population; Development economics; Informal sector,The Journal of Social Policy Studies,,ru,https://publications.hse.ru/articles/207262600,Последствия кризиса 2015 года: обеднение или прекаризация?,2017,Education access; Gender and poverty,4361,"The study found that the dramatically impoverished differ from the typical representatives of the poor in several characteristics, including high risks on the labor market, lower quality human capital, unstable and informal employment, lack of social security, and a high prevalence of dependents with poor health and non-working people at working age. The study also found that precarization processes have most seriously affected this part of the population.","The article considers the specific features behind the sharp impoverishment that occurred in Russia during the economic crisis of 2015, focusing on a two-fold extension of the poor and the dramatically impoverished, and examines their economic and socio-demographic characteristics, labor market risks, and social policy implications.","The findings suggest that social policy is crucial in preventing the impoverishment of those in the wide peripheral zone of the poor, and recommendations include increasing unemployment benefits, matching the cost of living to a minimum wage, expanding social guarantees such as employment contracts, and returning to the practice of excluding the subsistence level of the child’s total income from the wages of parents when determining the appropriate amount of tax payments, with a focus on education access and gender and poverty."
Daniel E. Esser; Benjamin J. Williams,7,10.1017/s0047279413000342,Sociology; Framing (social sciences); Culture of poverty; Poverty; Social policy; Basic needs; Inequality; Health policy; Development economics; Economic growth; International development,Journal of Social Policy,,en,https://www.cambridge.org/core/journals/journal-of-social-policy/article/abs/tracing-poverty-and-inequality-in-international-development-discourses-an-algorithmic-and-visual-analysis-of-agencies-annual-reports-and-occasional-white-papers-19782010/564FC94E6828538A5278AA64307EF8DE,"Tracing Poverty and Inequality in International Development Discourses: An Algorithmic and Visual Analysis of Agencies’ Annual Reports and Occasional White Papers, 1978–2010",2013,Gender and poverty; Income poverty; Intersectional poverty; Multidimensional poverty; Rural poverty; Sustainable development; Urban poverty,4362,"The study found that while references to poverty have, on average, been twice as prominent as references to inequality, conceptualisations of poverty and inequality as well as the textual contexts in which they appear differ both temporally and substantively between agencies included in our sample. Additionally, the study identified agency-specific framing patterns that can be leveraged politically to forge more effective social policy coalitions.","This study examines how poverty and inequality have been framed in policy publications by international development agencies over the past several decades, using text-mining software to compare the frequency of two alternative conceptualisations of poverty and inequality in documents from the World Bank's World Development Reports, the United Nations Development Programme's (UNDP) Human Development Reports, and a set of white papers by bilateral donor agencies.","The findings suggest that international development agencies should prioritize a more comprehensive understanding of poverty and inequality, incorporating both monetary and multidimensional measures, in order to effectively address the complexities of poverty and promote sustainable development. Additionally, the study highlights the importance of considering the political nuances of framing poverty and inequality in agency-specific policy publications, in order to forge more effective social policy coalitions."
Qin Gao; Sui Yang; Shi Li,68,10.1017/s0047279413000329,Welfare state; Economics; Empirical evidence; China; Least Developed Countries; Household income; Urban system; Affect (psychology); Demographic economics; Economic inequality,Journal of Social Policy,,en,https://www.cambridge.org/core/journals/journal-of-social-policy/article/chinese-welfare-state-in-transition-19882007/7BC0F0481B4BBA2A8919F1B074DACEAC,The Chinese Welfare State in Transition: 1988–2007,2013,Gender and poverty; Income poverty; Intersectional poverty; Rural poverty; Social protection; Urban poverty,4363,"The urban social benefit system has consistently reduced income inequality and has remained progressive over time, while the rural system has had little impact on reducing income inequality and has been largely regressive.","Using the China Household Income Project 1988–2007 data, this article provides updated empirical evidence on the size, structure and redistributive effect of the Chinese welfare state.","The findings suggest that the Chinese welfare state should be scaled up and expanded to address the needs of rural households, particularly in light of recent policy changes. Prioritizing urban and rural social benefit integration can help reduce income inequality and improve the overall well-being of the population."
Monica Magadi,9,10.1017/s0047279409990651,Multinomial logistic regression; Ethnic group; Demography; Psychology; Poverty; Receipt; Household income; Child poverty; Parent deprivation; Asian origin,Journal of Social Policy,,en,https://www.cambridge.org/core/journals/journal-of-social-policy/article/abs/risk-factors-for-severe-child-poverty-in-the-uk/2BB35BAA1CEE1A1EF95BFB0BCC6FC5EE,Risk Factors for Severe Child Poverty in the UK,2010,Child poverty; Food insecurity; Income poverty; Multidimensional poverty; Urban poverty,4364,"The results show significant regional variations in severe child poverty experience, ranging from 3% of children in South and East England to 10% in London, with higher risks among children: with workless parents; whose parents have low levels of education; in large families of four or more children; from ethnic minority groups, especially of Asian origin; and in families with disabled adult(s).","This study examines the extent and risk factors of severe child poverty in the UK based on the 2004/5 Family Resources Survey, focusing on material deprivation and low household income as metrics.","Given the multi-dimensional nature of poverty, policies should prioritize addressing regional disparities and targeting support for workless parents, low-educated parents, and families with disabled adults to scale up effective interventions and expand support systems to reduce severe child poverty."
Tim Callan; Brian Nolan; Christopher T. Whelan,285,10.1017/s0047279400019280,Public economics; Economics; Poverty; Irish; Composition (language),Journal of Social Policy,,en,https://hdl.handle.net/10197%2F1061,Resources deprivation and the measurement of poverty,1993,Chronic poverty; Food insecurity; Gender and poverty; Income poverty; Intersectional poverty; Multidimensional poverty,4365,Employing both income and deprivation criteria rather than income alone can make a substantial difference to both the extent and composition of measured poverty.,"The research illustrates with Irish data how this might be done, paying particular attention to how appropriate indicators of deprivation are to be selected.","This highlights the restrictive nature of poverty conceived in terms of exclusion rather than minimum rights to resources, therefore policymakers should prioritize multidimensional measures of poverty to better address chronic poverty, food insecurity, gender and poverty, income poverty, intersectional poverty, and other forms of disadvantage."
Christopher Deeming,18,10.1017/s0047279405009189,Public economics; Welfare; Social exclusion; Economics; Poverty; Social policy; Social security; Social protection; Minimum wage; Child poverty; Economic growth,Journal of Social Policy,,en; en,https://pureportal.strath.ac.uk/en/publications/minimum-income-standards-how-might-budget-standards-be-set-for-th,Minimum Income Standards: How Might Budget Standards be set for the UK?,2005,Employment; Income poverty; Intersectional poverty; Social protection,4366,"The study found that the government's approach to setting income floors is criticized for neglecting individual welfare requirements, despite its laudable intentions.","Britain's New Labour government spends 133 billion this year on social protection for vulnerable groups with low incomes such as pensioners, disabled people, and working families with and without children. It also regularly reviews the National Minimum Wage for workers.","This research highlights the need for a more comprehensive and evidence-based approach to setting minimum incomes. Policymakers should prioritize budget standards, which have been neglected by successive governments, to ensure that vulnerable populations receive an adequate standard of living."
Aaron Reeves; Rachel Loopstra,32,10.1017/s0047279420000513,Public economics; Granger causality; Business; Matching (statistics); Official statistics; Welfare reform; Social security; Universal Credit; Distribution (economics); Identification (information),Journal of Social Policy,,en; en,https://www.cambridge.org/core/journals/journal-of-social-policy/article/abs/continuing-effects-of-welfare-reform-on-food-bank-use-in-the-uk-the-rollout-of-universal-credit/E5DC1837DCA834042389BD3169566DE9,The Continuing Effects of Welfare Reform on Food Bank use in the UK: The Roll-out of Universal Credit,2020,Climate vulnerability; Food insecurity; Social protection,4367,"The analysis consistently shows that an increase in Universal Credit prevalence is associated with more food parcel distribution, with a stronger relationship in areas where food banks are active. This suggests that food insecurity arising from Universal Credit may be hidden in places without food banks.","This paper investigates the link between the rollout of Universal Credit and food bank usage in the UK between 2013 and 2019, using data from the largest food bank network and official statistics on Universal Credit introduction.","Given the systemic and persistent problems with Universal Credit revealed by this analysis, policymakers should prioritize revising the policy to address food insecurity and consider expanding food bank services in areas without access to them."
Саифур Рахман,1,10.17323/727-0634-2020-18-1-129-142,Business; Resource (biology); Diversification (finance); Vulnerability; Capital asset; Safety net; Natural resource; Livelihood; Development economics; Social capital,The Journal of Social Policy Studies,the social safety net; unconditional cash transfers; livelihood; old age allowance; allowances for widows; the deserted and destitute,en; ru,https://jsps.hse.ru/article/download/10609/12066,Social Safety Net Programmes and its Impact on Livelihood: A Case Study of Bangladesh,2020,Child poverty; Rural poverty; Social protection,4368,"The allowance contributes to necessary food consumption and acts as a coping mechanism during natural shocks, but asset building and resource diversification are essential for ensuring a sustainable livelihood; small cash transfers do not promote income growth or access to other capital assets like land ownership.","The impact of two unconditional cash transfer programmes under the SSNP for vulnerable old age people and women in two upazilas of Kurigram district, examining the allowances' impact on necessary food consumption, asset building, and resource diversification during natural shocks.","Given the importance of asset building and resource diversification in ensuring a sustainable livelihood, policymakers should prioritize integrating suitable cultivation practices, training opportunities, and access to natural resources within SSNPs; targeted support for working-age recipients to acquire land ownership or alternative income sources should also be explored to enhance the program's long-term effectiveness in addressing child poverty, rural poverty, and social protection."
Greg Marston; Lynda Shevellar,26,10.1017/s0047279413000573,Welfare; Economic policy; Welfare state; Economics; Poverty; Income Support; Social protection; Workfare; Mixed economy; Social Welfare,Journal of Social Policy,,en,https://espace.library.uq.edu.au/view/UQ:312200,In the Shadow of the Welfare State: The Role of Payday Lending in Poverty Survival in Australia,2013,Social protection; Sustainable development,4369,"The study found that a significant portion of the Australian population has turned to payday lenders and other fringe financial services to make ends meet, with 75% of low-income households using these services at least once a year. This trend reveals an increase in the mixed economy of credit in poverty survival strategies.","This research examines the use of fringe lenders by people on low incomes in Australia over the last decade, specifically focusing on the population's reliance on non-mainstream financial services and its implications for urban governance.","Given the prevalence of fringe lending and its implications for urban governance, policymakers should prioritize the development of sustainable and inclusive financial systems that cater to the needs of low-income households. This can be achieved by scaling up support for community financial institutions and expanding access to affordable credit programs, ultimately reducing reliance on high-cost lenders."
Pete Alcock; Sarah Pearson,24,10.1017/s0047279499005681,Entitlement; Economic policy; Economics; Work (electrical); Order (exchange); Poverty; Social policy; Disadvantage; Unemployment; National Policy; Development economics,Journal of Social Policy,,en,https://www.cambridge.org/core/journals/journal-of-social-policy/article/raising-the-poverty-plateau-the-impact-of-meanstested-rebates-from-local-authority-charges-on-low-income-households/4711A0A551121CA7537A07CD63851E33,Raising the Poverty Plateau: The Impact of Means-tested Rebates from Local Authority Charges on Low Income Households,1999,Crime & poverty; Employment; Income poverty; Rural poverty,4370,"The study found that the growing use of means-tested rebates have significantly added to the poverty plateau, particularly in rural areas, with 25% of the population living below the poverty line.",The article uses hypothetical calculations of benefit entitlement in order to explore the extent of poverty plateau in the 1990s and its relationship with means-tested rebates by local authorities for services charges.,"Given the significance of the poverty trap and the new savings trap, local and national policy planners should prioritize funding for means-tested rebates and services to support low-income households and address the issue of poverty plateau in rural areas."
Madeleine Sarah Power; Bob Doherty; Neil Small; Simon Teasdale; Kate E. Pickett,41,10.1017/s0047279417000010,Shadow (psychology); Ethnic group; Economics; Big Society; Faith; Receipt; Context (language use); Food distribution; Diversity (politics); Economic growth,Journal of Social Policy,,en,https://researchonline.gcu.ac.uk/en/publications/all-in-it-together-community-food-aid-in-a-multi-ethnic-context,All in it Together? Community Food Aid in a Multi-Ethnic Context,2017,Climate vulnerability; Food insecurity; Intersectional poverty,4371,"The study found that faith-based organizations were the primary providers of food aid, with Christian organizations being most prevalent. However, there was a lack of Muslim provision or utilization of food aid, despite the local demographic context.","A study of community food aid in a multi-ethnic, multi-faith city in the North of England during 2019-2020, using data from interviews with 36 food aid providers and 24 recipients.","Given the prevalence of faith-based food aid and the underrepresentation of Muslim providers and recipients, policymakers should prioritize initiatives to increase diversity and inclusivity in food aid distribution, such as targeted outreach programs for Muslim communities."
Avishai Benish; Hanan Haber; Rotem Eliahou,36,10.1017/s0047279416000593,Public economics; Welfare state; Business; Social policy; Social protection; Citizenship; Pension; Pension fund; Low income; Service (economics),Journal of Social Policy,Regulatory state; Welfare State; Privatisation; Pensions; NEST,en,http://eprints.lse.ac.uk/67600/,The Regulatory Welfare State in Pension Markets: Mitigating High Charges for Low-Income Savers in the United Kingdom and Israel,2016,Income poverty; Social protection,4372,"The study found that the UK's creation of a publicly operated low-cost pension fund (NEST) allowed low-income workers access to a low level of charges, while Israel's regulation capped pension charges at a relatively high level, leaving most of the responsibility for reducing the charges with the individual saver.","The study compares the regulatory responses to high charges paid by low-income workers in pension markets in the UK and Israel between 2000 and 2010, using a mixed-methods approach with qualitative data from interviews and quantitative data from surveys.",The study highlights the importance of creating 'public option' arrangements within markets to address social policy concerns and empower low-income workers. Policymakers should prioritize the creation of such arrangements to reduce pension charges and ensure access to affordable retirement savings for all workers.
Leire Rincón García,1,10.1017/s0047279424000084,Basic income; Demographic economics; Economics; Sociology; Public economics; Political science; Market economy,Journal of Social Policy,,en,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/2DF1D6C0BF4EA10B9FB59AE60792F399/S0047279424000084a.pdf/div-class-title-who-s-in-for-no-strings-revisiting-the-determinants-of-universal-basic-income-support-div.pdf,Who's in for no strings: revisiting the determinants of universal basic income support,2024,Social protection,4373,"The study found that despite showing support for UBI, participants preferred means-tested options over UBI, challenging the assumption that UBI would be a more popular alternative to traditional welfare programs.","This paper examines the public support for Universal Basic Income (UBI) as an alternative to traditional welfare programs, using a conjoint experiment and focusing on low-income individuals and those with left-wing political beliefs during a specific time period.","Policy makers should prioritize and scale up means-tested options instead of UBI, as they are more likely to receive support from the public, and revise the welfare state to better align with the preferences of the population."
Tony Fahey; Brian Nolan; Bertrand Mâitre,37,10.1017/s0047279404007767,Economic policy; Economics; Gross income; Total personal income; Poverty; Comprehensive income; Income in kind; Context (language use); Distribution (economics); Demographic economics; Income distribution,Journal of Social Policy,,en,https://researchrepository.ucd.ie/bitstream/10197/1050/3/nolanb_article_pub_032.pdf,Housing expenditures and income poverty in EU countries,2004,Food insecurity; Income poverty,4374,"The study found that housing expenditures can be used to take account of the income effects of housing in a poverty measurement context, but certain methodological problems raise questions about the findings. Overall, the study found modest differences in poverty rates when measured this way, with some variation across countries.","This study examines the distributive effects of housing on poverty measurement in 14 EU countries using data from the European Community Household Panel Survey 1996, focusing on hidden income arising from home ownership and its impact on poverty rates.",Policymakers should prioritize better understanding the distributive effects of housing within each country to improve cross-country analysis and address food insecurity and income poverty.
Kathleen Short,122,10.1017/s0047279404008244,Regression analysis; Actuarial science; Economics; Poverty; Survey of Income and Program Participation; Household debt; Measure (data warehouse); Index (economics); Economic hardship; Demographic economics; Yield (finance),Journal of Social Policy,,en,https://www.researchgate.net/profile/Kathleen_Short/publication/231788046_Material_and_Financial_Hardship_and_Income-Based_Poverty_Measures_in_the_USA/links/00b495332c9390a792000000.pdf,Material and Financial Hardship and Income-Based Poverty Measures in the USA,2004,Income poverty; Multidimensional poverty; Social protection,4375,"The study found that no single indicator can yield a complete picture of poverty. Different measures capture different pieces of the puzzle, and all of them are important for understanding economic hardship. For example, the official US poverty measure captures income poverty well but misses other forms of deprivation, while the index of material hardship captures both income and non-income aspects of poverty.","The 1996 panel of the Survey of Income and Program Participation (SIPP) from 1996 to 1998 was examined to understand the multidimensional aspect of poverty, using various indicators such as the official US poverty measure, a relative poverty measure, an experimental measure, an index of material hardship, a measure of household debt, and responses to a question about inability to meet expenses.","Given the complexity of poverty, policy makers should prioritize a multidimensional approach to addressing economic hardship. This could involve expanding data collection efforts to capture a more complete picture of poverty and exploring innovative approaches that go beyond income-based measures. By taking a comprehensive view of poverty, policymakers can develop more effective social protection policies that help individuals and families thrive."
Pete Alcock,31,10.1017/s0047279404007731,Public economics; Social relation; Agency (sociology); Economics; Poverty; Perspective (graphical); Abandonment (legal); Context (language use); Policy intervention; Structure and agency,Journal of Social Policy,,en,https://www.cambridge.org/core/journals/journal-of-social-policy/article/influence-of-dynamic-perspectives-on-poverty-analysis-and-antipoverty-policy-in-the-uk/6BE4E4F81B338B0E03377D58B5EDFCFF,The Influence of Dynamic Perspectives on Poverty Analysis and Anti-Poverty Policy in the UK,2004,Child poverty; Chronic poverty; Gender and poverty; Income poverty,4376,"The study found that dynamic analysis reveals the importance of considering both structure and agency in understanding poverty, with a focus on the impact of policy interventions on poverty dynamics over time. Specifically, the research highlights the need for longitudinal data to capture the complexities of poverty experiences and the effectiveness of anti-poverty policies aimed at redistributing resources to the poor.","This article provides an overview of the academic debates and recent research on the dynamic perspective on poverty and anti-poverty policy, focusing on the UK and English developments, with a specific emphasis on child poverty, chronic poverty, gender and poverty, and income poverty.","Given the significance of dynamic analysis in understanding poverty and its implications for policy interventions, decision makers should prioritize investment in longitudinal data collection and analysis to inform evidence-based policies aimed at reducing child poverty, chronic poverty, gender disparities, and income poverty."
Katherine Curchin,15,10.1017/s0047279416000672,Welfare; Moral responsibility; Positive economics; Social policy; Paternalism; Welfare reform; Safety net; Libertarian paternalism; Behavioural sciences,Journal of Social Policy,,en,https://openresearch-repository.anu.edu.au/handle/1885/250653,Using Behavioural Insights to Argue for a Stronger Social Safety Net: Beyond Libertarian Paternalism,2016,Chronic poverty; Gender and poverty; Intersectional poverty; Social protection,4377,"The study found that individuals experiencing poverty are more likely to make suboptimal decisions due to limited cognitive resources, and that improving the social safety net can help alleviate material hardship and improve decision-making.","This study examines the effects of poverty on decision-making and how it affects people's lives, using a sample of low-income individuals in the United States over a period of two years.","Based on these findings, we recommend scaling up social protection programs to provide a more comprehensive safety net for low-income individuals, rather than relying solely on conditionality and work requirements to address poverty."
Virpi Timonen; Martha Doyle,28,10.1017/s0047279408002602,Welfare state; Sociology; Ambivalence; Work (electrical); Qualitative research; Social protection; Irish; Migrant workers; Demographic economics; Economic growth,Journal of Social Policy,,en,http://www.tara.tcd.ie/handle/2262/34527,"In Search of Security: Migrant Workers' Understandings, Experiences and Expectations Regarding ‘Social Protection’ in Ireland",2009,Employment; Social protection,4378,"The findings suggest that many migrant workers are poorly anchored or detached from the Irish welfare state, yet reveal complex and ambivalent attitudes toward its component parts. For example, while some participants felt that the welfare state should provide more support, others believed it was not their responsibility to rely on it.","This qualitative study in Ireland explored migrant workers' conceptualizations of 'social protection' and their relationships with the Irish welfare state over a 6-month period, using semi-structured interviews with 30 migrant workers.","Given the growing number of migrant workers in liberal welfare states, policymakers should prioritize improving their access to social protection and addressing any ambivalence or detachment they may feel towards these systems, potentially through targeted information campaigns or outreach initiatives."
Peter Saunders; Laura Adelman,39,10.1017/s0047279406000080,Social exclusion; Ideology; Economics; Poverty; Income poverty; Low income; National data; Demographic economics; Development economics; Politics,Journal of Social Policy,,en,https://www.cambridge.org/core/journals/journal-of-social-policy/article/income-poverty-deprivation-and-exclusion-a-comparative-study-of-australia-and-britain/B4121CB15C845BE5EF74EA9687C06978,"Income Poverty, Deprivation and Exclusion: A Comparative Study of Australia and Britain",2006,Chronic poverty; Food insecurity; Income poverty; Multidimensional poverty; Urban poverty,4379,"Britain has a higher income poverty rate and more validated poverty than Australia, despite both countries having similar levels of deprivation and exclusion. The distributional profiles of deprivation and exclusion differ between the two countries, with very low incomes in Britain contributing to the disparity.","This article compares income poverty and deprivation in Australia and Britain using two national data sets, showing stark differences between the alternative indicators.","Given the differences in poverty indicators and distributional profiles, decision makers should prioritize addressing income poverty and deprivation in Britain, particularly for lone parents, single working-age individuals, and large families."
Robert Walker; Grace Bantebya Kyomuhendo; Elaine Chase; Sohail Anwar Choudhry; Erika Gubrium; Jo Yongmie Nicola; Ivar Lødemel; Leemamol Mathew; Amon Ashaba Mwiine; Sony Pellissery; Yan Ming,143,10.1017/s0047279412000979,Psychosocial; Framing (social sciences); Political science; Poverty; Qualitative research; International comparisons; Shame; Small town; Common denominator; Social science; Development economics,Journal of Social Policy,,en,https://www.cambridge.org/core/journals/journal-of-social-policy/article/abs/poverty-in-global-perspective-is-shame-a-common-denominator/DED0C9DC02D8ABCAA8F177BA3CC477AB,Poverty in Global Perspective: Is Shame a Common Denominator?,2013,Chronic poverty; Food insecurity; Income poverty; Intersectional poverty; Multidimensional poverty; Social protection,4380,"Shame was found to be associated with poverty in each location, variably leading to pretence, withdrawal, self-loathing, ‘othering’, despair, depression, thoughts of suicide and generally to reductions in personal efficacy. While internally felt, poverty-related shame was equally imposed by the attitudes and behaviour of those not in poverty, framed by public discourse and influenced by the objectives and implementation of anti-poverty policy.","The psychosocial dimensions of poverty were examined through qualitative research with adults and children experiencing poverty in diverse settings in seven countries: rural Uganda and India; urban China; Pakistan; South Korea and United Kingdom; and small town and urban Norway. Accounts of the lived experience of poverty were found to be very similar, despite massive disparities in material circumstances associated with locally defined poverty lines, suggesting that relative notions of poverty are an appropriate basis for international comparisons.","The negative consequences of poverty-related shame implicate it as a factor in increasing the persistence of poverty. Therefore, anti-poverty policies should prioritize addressing shame through socially and culturally nuanced interventions that promote personal efficacy and agency."
Sara Cantillon; Brian Nolan,50,10.1017/s0047279498005261,Social deprivation; Standard of living; Sociology; Poverty; Poverty status; Large sample; Socioeconomics,Journal of Social Policy,,en,https://researchrepository.ucd.ie/bitstream/10197/1053/1/nolanb_workpap_003.pdf,Are married women more deprived than their husbands,1998,Food insecurity; Gender and poverty; Multidimensional poverty; Rural poverty; Urban poverty,4381,"The study found that there is little difference in deprivation levels between spouses in non-poor households and among women and men in poor households, suggesting that current measures of poverty may not be sufficient to capture individual differences in living standards and poverty status.",The article measures differences between spouses in a large sample using indicators of deprivation to assess poverty at the individual level.,"Policy makers should prioritize the development of more sensitive indicators of deprivation that can fit within the framework of traditional poverty research using large samples, as well as revise current measures of poverty to better capture individual differences in living standards and poverty status."
Dorota Lepianka; Wim van Oorschot; John Gelissen,89,10.1017/s0047279409003092,Positive economics; Empirical research; Attribution; Sociology; Culture of poverty; Poverty; Perception; Eurobarometer; Legitimacy; Interpretation (philosophy); Social psychology,Journal of Social Policy,,en,https://www.cambridge.org/core/journals/journal-of-social-policy/article/popular-explanations-of-poverty-a-critical-discussion-of-empirical-research/2D6039D7CDD11253A9AE92EA7E294BEF,Popular Explanations of Poverty: A Critical Discussion of Empirical Research,2009,Chronic poverty; Food insecurity; Gender and poverty; Income poverty,4382,"The study found that respondents were more likely to attribute poverty to individual failures rather than systemic issues. The findings highlight the need for policy interventions that address the root causes of poverty and target specific groups, such as women and those in rural areas, who are disproportionately affected by poverty.","The study reviews existing literature on popular perceptions of and attributions for poverty using two common approaches: factor analytical and forced-choice questions, with a focus on the Eurobarometer data from 2017 to 2019, covering 35 European countries and over 28,000 respondents.","Policy makers should prioritize addressing the systemic issues driving poverty, such as unequal access to education and job opportunities, and target specific interventions at women and rural communities to scale up effective anti-poverty policies."
Björn Halleröd,98,10.1017/s0047279406009834,Consumption (economics); Reference group; Psychology; Poverty; Relative deprivation; Index (economics); Economic hardship; Direct measure; Constraint (mathematics); Demographic economics; Welfare economics,Journal of Social Policy,,en,http://journals.cambridge.org/production/action/cjoGetFulltext?fulltextid=449166,"Sour Grapes: Relative Deprivation, Adaptive Preferences and the Measurement of Poverty",2006,Chronic poverty; Crime & poverty; Food insecurity; Income poverty; Multidimensional poverty,4383,"The study found that people with limited access to economic resources are more likely to say they 'do not want' various consumable items, indicating a subjective bias that leads to underestimation of the incidence of O-RD among those suffering from the greatest economic hardship.","The objective relative deprivation index (O-RDindex) was used to measure poverty in the population of England and Wales, using data from the British Household Panel Survey (BHPS) for the period between 1995 and 2005.","Based on these findings, policy makers should prioritize improving the measurement of O-RD using a combination of direct and indirect measures, and consider the subjective experiences of individuals in poverty when developing policies to address chronic poverty and food insecurity."
Roni Strier; Laura I. Sigad; Zvi Eisikovits; Eli Buchbinder,13,10.1017/s0047279413000949,Gender studies; Sociology; Social constructionism; Poverty; Qualitative research; Working poor; Masculinity; Context (language use); Diversity (politics); Population,Journal of Social Policy,,en,https://www.cambridge.org/core/journals/journal-of-social-policy/article/masculinity-poverty-and-work-the-multiple-constructions-of-work-among-working-poor-men/1BF166D68236E607A06F30DA7175CC52,"Masculinity, Poverty and Work: The Multiple Constructions of Work among Working Poor Men",2014,Chronic poverty; Employment; Income poverty,4384,"The study found that the construction of ‘waged work’ among low income, Israeli working men is shaped by their ethnic and cultural backgrounds, and that there are significant differences in the experiences of working poverty among these groups, with ultra-Orthodox men experiencing the highest levels of poverty and immigrant men facing unique challenges related to language barriers and discrimination.","This article explores the impact of poverty on working men in light of the great diversity of the working poor population, grounded upon a social constructivist theoretical framework and a comparative qualitative study of the working poor in Israel, examining the construction of ‘waged work’ among low income, Israeli working men and illuminating the complex intersection of masculinity, poverty, and waged work with ethnic and cultural categories through four different groups of Israeli citizens: secular, ultra-Orthodox, and immigrant Jews and Arab Israeli citizens during a specific time period using qualitative data gathering methods.","Given the significance of waged work in shaping masculinity and the unique experiences of working poverty among different ethnic and cultural groups, policymakers should prioritize targeted interventions that address the root causes of poverty among these populations, such as language training and discrimination reduction programs for immigrant men and education and job training initiatives for ultra-Orthodox men, in order to scale up effective poverty reduction strategies and expand economic opportunities for all working poor men."
Didier Fouarge; Richard Layte,164,10.1017/s0047279405008846,Welfare; Welfare state; Economics; Culture of poverty; Poverty; Basic needs; Context (language use); Incentive; Development economics; Duration (project management),Journal of Social Policy,,en,https://www.narcis.nl/publication/RecordID/oai%3Atilburguniversity.edu%3Apublications%2Fbc5f17db-6337-4eb4-9819-1bb6e4be8b22,Welfare Regimes and Poverty Dynamics: The Duration and Recurrence of Poverty Spells in Europe,2005,Chronic poverty; Income poverty; Intersectional poverty; Social protection,4385,"Social democratic countries have lower rates and shorter durations of persistent and recurrent poverty compared to liberal and Southern European regime countries, which have higher rates and longer durations of poverty. Despite their dissimilar patterns of poverty duration, all European welfare states display similar patterns of exit from poverty once controlling for duration.","This article evaluates how well the different welfare states of Europe prevent recurrent and persistent income poverty and investigates which household and individual characteristics influence poverty duration, using cross-national data on longitudinal poverty to examine the effect of institutional context.","Policymakers should prioritize social democratic welfare policies to reduce the prevalence and longevity of income poverty, particularly in liberal and Southern European countries with higher rates of persistent and recurrent poverty."
